Iceland	coach	Erik Hamrén
Iceland	captain	Aron Gunnarsson
Iceland	world cup appearance	1 (first in 2018)
Iceland	world cup Group stage	2018
Iceland	goalkeeper	Hannes Thor Halldorsson
Iceland	has player	Hannes Thor Halldorsson
Hannes Thor Halldorsson	position	goalkeeper
Hannes Thor Halldorsson	goals	0
Hannes Thor Halldorsson	caps	61
Hannes Thor Halldorsson	age	35
Hannes Thor Halldorsson	jersey	1
Iceland	goalkeeper	Ogmundur Kristinsson
Iceland	has player	Ogmundur Kristinsson
Ogmundur Kristinsson	position	goalkeeper
Ogmundur Kristinsson	goals	0
Ogmundur Kristinsson	caps	15
Ogmundur Kristinsson	age	30
Ogmundur Kristinsson	jersey	12
Iceland	goalkeeper	Ingvar Jonsson
Iceland	has player	Ingvar Jonsson
Ingvar Jonsson	position	goalkeeper
Ingvar Jonsson	goals	0
Ingvar Jonsson	caps	8
Ingvar Jonsson	age	29
Ingvar Jonsson	jersey	13
Iceland	defender	Birkir Mar Saevarsson
Iceland	has player	Birkir Mar Saevarsson
Birkir Mar Saevarsson	position	defender
Birkir Mar Saevarsson	goals	1
Birkir Mar Saevarsson	caps	90
Birkir Mar Saevarsson	age	34
Birkir Mar Saevarsson	jersey	2
Iceland	defender	Ragnar Sigurdsson
Iceland	has player	Ragnar Sigurdsson
Ragnar Sigurdsson	position	defender
Ragnar Sigurdsson	goals	5
Ragnar Sigurdsson	caps	88
Ragnar Sigurdsson	age	33
Ragnar Sigurdsson	jersey	6
Iceland	defender	Kari Arnason
Iceland	has player	Kari Arnason
Kari Arnason	position	defender
Kari Arnason	goals	6
Kari Arnason	caps	77
Kari Arnason	age	36
Kari Arnason	jersey	14
Iceland	defender	Ari Freyr Skulason
Iceland	has player	Ari Freyr Skulason
Ari Freyr Skulason	position	defender
Ari Freyr Skulason	goals	0
Ari Freyr Skulason	caps	66
Ari Freyr Skulason	age	32
Ari Freyr Skulason	jersey	23
Iceland	defender	Sverrir Ingi Ingason
Iceland	has player	Sverrir Ingi Ingason
Sverrir Ingi Ingason	position	defender
Sverrir Ingi Ingason	goals	3
Sverrir Ingi Ingason	caps	27
Sverrir Ingi Ingason	age	25
Sverrir Ingi Ingason	jersey	5
Iceland	defender	Hordur Bjorgvin Magnusson
Iceland	has player	Hordur Bjorgvin Magnusson
Hordur Bjorgvin Magnusson	position	defender
Hordur Bjorgvin Magnusson	goals	2
Hordur Bjorgvin Magnusson	caps	25
Hordur Bjorgvin Magnusson	age	26
Hordur Bjorgvin Magnusson	jersey	18
Iceland	defender	Jon Gudni Fjoluson
Iceland	has player	Jon Gudni Fjoluson
Jon Gudni Fjoluson	position	defender
Jon Gudni Fjoluson	goals	1
Jon Gudni Fjoluson	caps	15
Jon Gudni Fjoluson	age	30
Jon Gudni Fjoluson	jersey	3
Iceland	defender	Hjortur Hermannsson
Iceland	has player	Hjortur Hermannsson
Hjortur Hermannsson	position	defender
Hjortur Hermannsson	goals	1
Hjortur Hermannsson	caps	11
Hjortur Hermannsson	age	24
Hjortur Hermannsson	jersey	15
Iceland	midfielder	Aron Gunnarsson 
Iceland	has player	Aron Gunnarsson 
Aron Gunnarsson 	position	midfielder
Aron Gunnarsson 	goals	2
Aron Gunnarsson 	caps	85
Aron Gunnarsson 	age	30
Aron Gunnarsson 	jersey	17
Iceland	midfielder	Birkir Bjarnason
Iceland	has player	Birkir Bjarnason
Birkir Bjarnason	position	midfielder
Birkir Bjarnason	goals	11
Birkir Bjarnason	caps	77
Birkir Bjarnason	age	31
Birkir Bjarnason	jersey	8
Iceland	midfielder	Johann Berg Gudmundsson
Iceland	has player	Johann Berg Gudmundsson
Johann Berg Gudmundsson	position	midfielder
Johann Berg Gudmundsson	goals	8
Johann Berg Gudmundsson	caps	74
Johann Berg Gudmundsson	age	28
Johann Berg Gudmundsson	jersey	7
Iceland	midfielder	Gylfi Sigurdsson
Iceland	has player	Gylfi Sigurdsson
Gylfi Sigurdsson	position	midfielder
Gylfi Sigurdsson	goals	20
Gylfi Sigurdsson	caps	68
Gylfi Sigurdsson	age	29
Gylfi Sigurdsson	jersey	10
Iceland	midfielder	Emil Hallfredsson
Iceland	has player	Emil Hallfredsson
Emil Hallfredsson	position	midfielder
Emil Hallfredsson	goals	1
Emil Hallfredsson	caps	68
Emil Hallfredsson	age	35
Emil Hallfredsson	jersey	20
Iceland	midfielder	Rurik Gislason
Iceland	has player	Rurik Gislason
Rurik Gislason	position	midfielder
Rurik Gislason	goals	3
Rurik Gislason	caps	53
Rurik Gislason	age	31
Iceland	midfielder	Arnor Ingvi Traustason
Iceland	has player	Arnor Ingvi Traustason
Arnor Ingvi Traustason	position	midfielder
Arnor Ingvi Traustason	goals	5
Arnor Ingvi Traustason	caps	29
Arnor Ingvi Traustason	age	26
Arnor Ingvi Traustason	jersey	21
Iceland	midfielder	Runar Mar Sigurjonsson
Iceland	has player	Runar Mar Sigurjonsson
Runar Mar Sigurjonsson	position	midfielder
Runar Mar Sigurjonsson	goals	1
Runar Mar Sigurjonsson	caps	22
Runar Mar Sigurjonsson	age	29
Runar Mar Sigurjonsson	jersey	16
Iceland	midfielder	Victor Palsson
Iceland	has player	Victor Palsson
Victor Palsson	position	midfielder
Victor Palsson	goals	0
Victor Palsson	caps	11
Victor Palsson	age	28
Victor Palsson	jersey	4
Iceland	forward	Kolbeinn Sigthorsson
Iceland	has player	Kolbeinn Sigthorsson
Kolbeinn Sigthorsson	position	forward
Kolbeinn Sigthorsson	goals	23
Kolbeinn Sigthorsson	caps	50
Kolbeinn Sigthorsson	age	29
Kolbeinn Sigthorsson	jersey	9
Iceland	forward	Jon Dadi Bodvarsson
Iceland	has player	Jon Dadi Bodvarsson
Jon Dadi Bodvarsson	position	forward
Jon Dadi Bodvarsson	goals	2
Jon Dadi Bodvarsson	caps	41
Jon Dadi Bodvarsson	age	27
Jon Dadi Bodvarsson	jersey	3
Iceland	forward	Vidar Orn Kjartansson
Iceland	has player	Vidar Orn Kjartansson
Vidar Orn Kjartansson	position	forward
Vidar Orn Kjartansson	goals	3
Vidar Orn Kjartansson	caps	21
Vidar Orn Kjartansson	age	29
Vidar Orn Kjartansson	jersey	19
Iceland	forward	Albert Gudmundsson
Iceland	has player	Albert Gudmundsson
Albert Gudmundsson	position	forward
Albert Gudmundsson	goals	3
Albert Gudmundsson	caps	11
Albert Gudmundsson	age	22
Albert Gudmundsson	jersey	22
Iceland	forward	Alfred Finnbogason
Iceland	has player	Alfred Finnbogason
Alfred Finnbogason	position	forward
Alfred Finnbogason	goals	16
Alfred Finnbogason	caps	56
Alfred Finnbogason	age	30
